,index,yes,no
59,161,40992246.510089815,3120749.43144537
60,160,32922393.783723775,11925261.706809489
61,159,6714486.932214823,1573255.404904616
62,158,28533427.361919474,4214708.456740625
63,157,29002509.96645172,55546975.32729751
64,156,14150977.75408714,750254.5688472512
65,155,21296002.80213787,1441880.29251313
66,154,3072144.4368458968,10707989.8119224
67,153,15145558.668774566,13039277.2102238
68,152,11550445.501611734,2360329.5508997575
69,151,10935687.746352663,1035357.3614992728
70,150,8173838.924613327,36156020.473842986
71,149,5500.2001,11892506.619330889
72,148,1738801.961481443,10902545.250796335
73,147,263544.2916222079,10866612.314139314
74,146,9073901.901891729,13234063.197890121
75,145,10908977.520959217,2029197.8157342088
76,144,539671.9548509261,8496668.073803283
77,143,709765.1801915593,8321085.380210416
78,142,79629134.29153393,10.0
79,141,9815523.715501022,2164853.1242166907
80,140,15009481.15578165,11836784.393508028
81,139,67352017.64582942,574.3
82,138,1620177.6132044385,13912353.415797839
83,137,11694379.632907167,7949509.53322787
84,136,1259065.6445507207,49597.6707428057
85,135,14190929.773337824,335416.1258053582
86,134,22602587.61832344,9282888.327112835
87,133,11485365.942064028,591578.0769474191
88,132,129796807.56598456,10.0000001
89,131,642061.6815548666,10403065.271781659
90,130,83662703.79160039,5.1
91,129,1053668.0843173577,21799859.680688288
92,128,1532577.9157222912,10757500.133491058
93,127,250564.3001,11319202.934961796
94,126,477424.7660347505,10469698.783747932
95,125,25778966.219183173,8589727.942633543
96,124,8838877.482657176,2405004.184851485
97,123,6510028.820878574,20708.8341525147
98,122,82068350.35509124,5000.0
99,121,1639770.42252777,9528437.06765272
100,120,13377423.438059485,741684.2711678819
101,119,9881167.304925859,1774058.2108842062
102,118,10393061.010226985,1462553.2046127676
103,117,2416625.726004102,17394431.087814342
104,116,552334.3568617809,7669622.9910302125
105,115,6459460.543195448,27741.1
106,114,6964815.49971053,27741.1
107,113,6935202.312304886,12741.0
108,112,6915202.110300566,32741.1
109,111,9549371.48081784,1777789.0804504848
110,110,68328108.10186906,10.0
111,109,1607072.6209056086,9897751.716545638
112,108,1110896.6022407254,96196.205521818
113,107,349300.0235388797,24637372.195392903
114,106,46.5606,10376856.235622648
115,105,13428261.636466892,490200.5592823739
116,104,469.5001,9666029.169369327
117,103,2718300.389463449,1205976.0773400085
118,102,4201378.731518984,12751935.100499835
119,101,1454747.933590664,7607059.260747373
120,100,1234996.1824093596,287725.7686
121,99,1139247.9246899975,7767062.625196723
122,98,8401407.083628016,7075387.569513494
123,97,4039651.941887917,2420972.0955897355
124,96,241778.9867892313,8564453.57926575
125,95,2280748.43645582,223637.52072
126,94,2374640.5356330145,6537.2608
127,93,7725902.403130104,1202432.706428662
128,92,3171.71527,1691419.7090268605
129,91,575.1,1752681.734111025
130,90,7908415.330092528,5973479.092043693
131,89,12107.60327,2343682.176662121
132,88,1317634.1273362057,10767076.450346831
133,87,10.864,8597057.352723973
134,86,332889.2860128057,1257176.614344529
135,85,44924577.120154776,11998648.372988708
136,84,3812823.302071312,44853.6472740836
137,83,2732511.4242491024,105.0001
138,82,7574005.649151823,5083003.5840209685
139,81,38681362.508912414,59807440.144635506
140,80,6921.2,3266251.192756873
141,79,2770176.478645523,17012.51527
